id,city,title,rent_raw,size_raw
12857058,Potsdam,Unknown,300 €,14 m²
12839401,Potsdam,Unknown,475 €,40 m²
12246348,Potsdam,Unknown,600 €,18 m²
12639277,Potsdam,Unknown,650 €,30 m²
12410774,Potsdam,Unknown,600 € |,20 m²
12614178,Potsdam,Unknown,450 € |,11 m²
12618513,Potsdam,Unknown,520 € |,22 m²
6595743,Potsdam,Unknown,475 € |,40 m²
12385730,Potsdam,Unknown,550 € |,17 m²
12303607,Potsdam,Unknown,550 € |,17 m²
12298367,Potsdam,Unknown,300 € |,15 m²
12032027,Potsdam,Unknown,650 € |,8 m²
12032044,Potsdam,Unknown,850 € |,18 m²
12002073,Potsdam,Unknown,800 € |,20 m²
11963633,Potsdam,Unknown,502 € |,11 m²
9621408,Potsdam,Unknown,550 € |,13 m²
9683889,Potsdam,Unknown,550 € |,13 m²
12883797,Berlin,Unknown,690 €,15 m²
12933902,Berlin,Unknown,520 €,15 m²
11349819,Berlin,Unknown,690 €,12 m²
9196123,Berlin,Unknown,999 €,15 m²
9780137,Berlin,Unknown,999 €,15 m²
12814797,Berlin,Unknown,490 €,10 m²
9800404,Berlin,Unknown,999 €,25 m²
9801817,Berlin,Unknown,999 €,25 m²
9801837,Berlin,Unknown,999 €,25 m²
9896291,Berlin,Unknown,999 €,25 m²
9896298,Berlin,Unknown,999 €,25 m²
9902818,Berlin,Unknown,999 €,25 m²
9902847,Berlin,Unknown,999 €,15 m²
10671769,Berlin,Unknown,999 €,15 m²
12930382,Berlin,Unknown,450 €,18 m²
12933636,Berlin,Unknown,400 €,20 m²
12902933,Berlin,Unknown,380 €,28 m²
12924860,Berlin,Unknown,650 €,13 m²
12915137,Berlin,Unknown,820 €,23 m²
10883777,Berlin,Unknown,850 €,23 m²
5813810,Berlin,Unknown,550 €,22 m²
12924574,Berlin,Unknown,680 €,14 m²
12162365,Berlin,Unknown,650 €,13 m²
12280983,Berlin,Unknown,800 €,16 m²
12281874,Berlin,Unknown,800 €,17 m²
12282798,Berlin,Unknown,795 €,20 m²
12282174,Berlin,Unknown,750 €,11 m²
12814324,Berlin,Unknown,610 €,10 m²
